date,watch_minutes,num_sessions
2021-10-07,38.71666666666667,2
2021-10-15,180.26666666666668,9
2021-10-16,70.13333333333334,5
2021-10-28,5.583333333333333,1
2021-11-01,77.35,10
2021-11-02,109.5,11
2021-11-03,223.71666666666667,13
2021-11-04,81.68333333333334,8
2021-11-05,108.78333333333333,6
2021-11-06,149.89999999999998,9
2021-11-20,25.55,3
2021-12-05,21.566666666666666,4
2021-12-17,80.13333333333334,1
2021-12-24,31.633333333333333,1
2022-01-29,343.6,9
2022-01-30,278.5,7
2022-02-02,80.7,2
2022-02-03,334.6166666666667,10
2022-02-04,115.3,2
2022-02-06,10.7,1
2022-02-07,6.05,1
2022-02-13,4.366666666666666,1
2022-02-14,38.81666666666667,3
2022-02-18,16.233333333333334,1
2022-02-23,13.683333333333334,1
2022-02-27,7.283333333333333,1
2022-03-25,3.466666666666667,1
2022-04-02,24.06666666666667,2
2022-04-08,15.2,1
2022-04-13,16.983333333333334,1
2022-04-14,28.8,4
2022-04-15,107.86666666666666,8
2022-04-16,18.083333333333332,2
2022-04-17,71.66666666666666,4
2022-04-21,7.466666666666667,1
2022-04-22,17.333333333333332,1
2022-04-24,21.183333333333334,2
2022-04-25,13.616666666666667,2
2022-04-26,5.9,1
2022-04-28,7.449999999999999,2
2022-04-30,64.58333333333333,3
2022-05-01,39.75,3
2022-05-02,95.8,6
2022-05-03,7.45,1
2022-05-04,15.3,1
2022-05-13,5.833333333333333,1
2022-05-15,35.78333333333333,2
2022-05-17,28.35,4
2022-05-18,1.5666666666666667,1
2022-05-20,1.75,1
2022-05-23,21.75,1
2022-06-10,3.783333333333333,1
2022-07-13,201.06666666666666,3
2022-07-14,150.03333333333333,4
2022-07-15,107.93333333333334,4
2022-07-21,13.85,1
2022-08-24,5.233333333333333,1
2022-09-20,68.78333333333333,2
2022-09-22,10.1,1
2022-09-28,5.016666666666667,1
2022-09-29,57.916666666666664,6
2022-10-01,73.23333333333333,6
2022-10-02,3.4,1
2022-10-03,77.9,6
2022-10-05,9.45,1
2022-10-06,61.8,2
2022-10-08,2.8833333333333333,1
2022-10-11,3.6333333333333333,1
2022-11-01,106.3,10
2022-11-14,11.05,1
2022-11-20,24.316666666666666,1
2022-11-21,8.216666666666667,1
2022-11-22,27.516666666666666,2
2022-12-12,5.483333333333333,1
2022-12-13,6.466666666666667,1
2022-12-18,29.583333333333332,2
2022-12-22,13.383333333333333,1
2022-12-23,12.883333333333333,2
2022-12-24,8.366666666666667,2
2022-12-26,9.2,1
2023-02-06,41.666666666666664,1
2023-02-08,38.6,4
